Time,Stream,Lat,Lon,Alt,eph(m),epv(m),fix_type,sats
2025-08-28T11:15:36,drone,13.0268153,77.5633307,944.48,,,,
2025-08-28T11:15:36,drone,13.0268160,77.5633313,942.53,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268154,77.5633308,944.51,,,,
2025-08-28T11:15:36,drone,13.0268161,77.5633314,942.51,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268154,77.5633308,944.52,,,,
2025-08-28T11:15:36,drone,13.0268160,77.5633315,942.52,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268154,77.5633309,944.54,,,,
2025-08-28T11:15:36,drone,13.0268159,77.5633316,942.56,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268153,77.5633309,944.57,,,,
2025-08-28T11:15:36,drone,13.0268158,77.5633315,942.56,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268152,77.5633309,944.59,,,,
2025-08-28T11:15:36,drone,13.0268158,77.5633315,942.60,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268151,77.5633309,944.62,,,,
2025-08-28T11:15:36,drone,13.0268157,77.5633316,942.61,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268151,77.5633309,944.64,,,,
2025-08-28T11:15:36,drone,13.0268157,77.5633316,942.60,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268151,77.5633310,944.65,,,,
2025-08-28T11:15:36,drone,13.0268156,77.5633318,942.62,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268150,77.5633311,944.65,,,,
2025-08-28T11:15:36,drone,13.0268157,77.5633319,942.61,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268150,77.5633312,944.66,,,,
2025-08-28T11:15:36,drone,13.0268157,77.5633319,942.62,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268151,77.5633312,944.67,,,,
2025-08-28T11:15:36,drone,13.0268158,77.5633320,942.63,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268151,77.5633313,944.68,,,,
2025-08-28T11:15:36,drone,13.0268159,77.5633321,942.63,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268151,77.5633314,944.69,,,,
2025-08-28T11:15:36,drone,13.0268161,77.5633322,942.62,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268152,77.5633315,944.70,,,,
2025-08-28T11:15:36,drone,13.0268163,77.5633324,942.61,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268154,77.5633316,944.71,,,,
2025-08-28T11:15:36,drone,13.0268165,77.5633324,942.58,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268156,77.5633317,944.71,,,,
2025-08-28T11:15:36,drone,13.0268166,77.5633325,942.58,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268156,77.5633318,944.71,,,,
2025-08-28T11:15:36,drone,13.0268166,77.5633326,942.58,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268157,77.5633318,944.72,,,,
2025-08-28T11:15:36,drone,13.0268167,77.5633327,942.58,0.55,0.80,4,27
2025-08-28T11:15:36,drone,13.0268158,77.5633319,944.71,,,,
2025-08-28T11:15:36,drone,13.0268213,77.5633360,942.32,0.57,0.83,4,26
2025-08-28T11:15:36,drone,13.0268206,77.5633361,944.63,,,,
2025-08-28T11:15:36,drone,13.0268213,77.5633360,942.33,0.57,0.83,4,26
2025-08-28T11:15:36,drone,13.0268205,77.5633361,944.63,,,,
2025-08-28T11:15:36,drone,13.0268212,77.5633359,942.36,0.57,0.83,4,26
2025-08-28T11:15:36,drone,13.0268205,77.5633361,944.63,,,,
2025-08-28T11:15:36,drone,13.0268211,77.5633359,942.39,0.57,0.83,4,26
2025-08-28T11:15:36,drone,13.0268205,77.5633361,944.62,,,,
2025-08-28T11:15:36,drone,13.0268212,77.5633359,942.38,0.57,0.83,4,26
2025-08-28T11:15:36,drone,13.0268206,77.5633361,944.62,,,,
2025-08-28T11:15:36,drone,13.0268214,77.5633360,942.34,0.57,0.83,4,26
2025-08-28T11:15:36,drone,13.0268207,77.5633362,944.62,,,,
2025-08-28T11:15:36,drone,13.0268215,77.5633360,942.33,0.57,0.83,4,26
2025-08-28T11:15:36,base,13.0265167,77.5631187,943.04,,,,
2025-08-28T11:15:36,base,13.0265255,77.5631265,940.45,0.60,0.96,4,18
