Time,Stream,Lat,Lon,Alt,eph(m),epv(m),fix_type,sats
2025-08-29T12:23:39,BASE,13.0267042,77.5632953,943.22,0.83,1.27,3,17
2025-08-29T12:23:39,DRONE,13.0267917,77.5633472,956.03,,,,
2025-08-29T12:23:39,BASE,13.0267028,77.5632843,939.67,,,,
2025-08-29T12:23:39,BASE,13.0267028,77.5632844,939.67,,,,
2025-08-29T12:23:39,BASE,13.0267027,77.5632845,939.67,,,,
2025-08-29T12:23:39,DRONE,13.0267916,77.5633472,956.03,,,,
2025-08-29T12:23:39,DRONE,13.0267945,77.5633448,942.24,0.53,0.94,4,21
2025-08-29T12:23:39,DRONE,13.0267916,77.5633472,956.03,,,,
2025-08-29T12:23:39,DRONE,13.0267917,77.5633471,956.03,,,,
2025-08-29T12:23:39,BASE,13.0267027,77.5632846,939.66,,,,
2025-08-29T12:23:39,BASE,13.0267045,77.5632957,943.26,0.83,1.27,3,17
2025-08-29T12:23:39,BASE,13.0267028,77.5632847,939.66,,,,
2025-08-29T12:23:39,DRONE,13.0267917,77.5633471,956.03,,,,
2025-08-29T12:23:39,DRONE,13.0267917,77.5633471,956.03,,,,
2025-08-29T12:23:39,BASE,13.0267028,77.5632849,939.66,,,,
2025-08-29T12:23:39,BASE,13.0267028,77.5632849,939.66,,,,
2025-08-29T12:23:39,BASE,13.0267029,77.5632851,939.66,,,,
2025-08-29T12:23:39,DRONE,13.0267947,77.5633447,942.22,0.53,0.94,4,21
2025-08-29T12:23:39,DRONE,13.0267918,77.5633471,956.03,,,,
2025-08-29T12:23:39,DRONE,13.0267918,77.5633471,956.03,,,,
2025-08-29T12:23:39,BASE,13.0267050,77.5632963,943.33,0.83,1.27,3,17
2025-08-29T12:23:39,BASE,13.0267030,77.5632853,939.66,,,,
2025-08-29T12:23:39,BASE,13.0267030,77.5632855,939.66,,,,
2025-08-29T12:23:39,DRONE,13.0267919,77.5633470,956.03,,,,
2025-08-29T12:23:39,DRONE,13.0267919,77.5633471,956.03,,,,
2025-08-29T12:23:39,BASE,13.0267030,77.5632856,939.66,,,,
2025-08-29T12:23:39,BASE,13.0267031,77.5632858,939.66,,,,
2025-08-29T12:23:40,DRONE,13.0267948,77.5633446,942.22,0.53,0.94,4,21
2025-08-29T12:23:40,BASE,13.0267056,77.5632972,943.35,0.83,1.27,3,17
2025-08-29T12:23:40,DRONE,13.0267920,77.5633470,956.03,,,,
2025-08-29T12:23:40,BASE,13.0267033,77.5632861,939.65,,,,
2025-08-29T12:23:40,DRONE,13.0267920,77.5633470,956.03,,,,
2025-08-29T12:23:40,DRONE,13.0267920,77.5633470,956.03,,,,
2025-08-29T12:23:40,BASE,13.0267035,77.5632864,939.65,,,,
2025-08-29T12:23:40,DRONE,13.0267920,77.5633470,956.03,,,,
2025-08-29T12:23:40,DRONE,13.0267949,77.5633444,942.20,0.53,0.94,4,21
2025-08-29T12:23:40,DRONE,13.0267921,77.5633469,956.03,,,,
2025-08-29T12:23:40,BASE,13.0267036,77.5632866,939.65,,,,
2025-08-29T12:23:40,BASE,13.0267036,77.5632868,939.65,,,,
2025-08-29T12:23:40,DRONE,13.0267921,77.5633469,956.03,,,,
2025-08-29T12:23:40,BASE,13.0267054,77.5632985,943.37,0.83,1.27,3,17
2025-08-29T12:23:40,DRONE,13.0267921,77.5633469,956.03,,,,
2025-08-29T12:23:40,BASE,13.0267036,77.5632871,939.65,,,,
2025-08-29T12:23:40,BASE,13.0267036,77.5632873,939.65,,,,
2025-08-29T12:23:40,BASE,13.0267036,77.5632876,939.65,,,,
2025-08-29T12:23:40,DRONE,13.0267921,77.5633469,956.04,,,,
2025-08-29T12:23:40,DRONE,13.0267950,77.5633443,942.18,0.53,0.94,4,21
2025-08-29T12:23:40,DRONE,13.0267922,77.5633468,956.03,,,,
2025-08-29T12:23:40,DRONE,13.0267922,77.5633468,956.03,,,,
2025-08-29T12:23:40,BASE,13.0267036,77.5632878,939.64,,,,
2025-08-29T12:23:40,BASE,13.0267048,77.5632985,943.26,0.83,1.27,3,17
2025-08-29T12:23:40,BASE,13.0267035,77.5632880,939.64,,,,
2025-08-29T12:23:40,DRONE,13.0267922,77.5633468,956.03,,,,
2025-08-29T12:23:40,DRONE,13.0267922,77.5633468,956.03,,,,
2025-08-29T12:23:40,BASE,13.0267035,77.5632881,939.64,,,,
2025-08-29T12:23:40,BASE,13.0267035,77.5632883,939.64,,,,
2025-08-29T12:23:40,DRONE,13.0267951,77.5633441,942.18,0.53,0.94,4,21
2025-08-29T12:23:40,BASE,13.0267035,77.5632884,939.63,,,,
2025-08-29T12:23:40,DRONE,13.0267922,77.5633467,956.02,,,,
2025-08-29T12:23:40,DRONE,13.0267923,77.5633467,956.02,,,,
2025-08-29T12:23:40,BASE,13.0267048,77.5632983,943.13,0.83,1.27,3,17
2025-08-29T12:23:40,BASE,13.0267035,77.5632886,939.63,,,,
2025-08-29T12:23:40,BASE,13.0267035,77.5632888,939.63,,,,
2025-08-29T12:23:40,DRONE,13.0267923,77.5633467,956.01,,,,
2025-08-29T12:23:40,DRONE,13.0267923,77.5633467,956.01,,,,
2025-08-29T12:23:40,BASE,13.0267036,77.5632889,939.62,,,,
2025-08-29T12:23:40,BASE,13.0267035,77.5632890,939.62,,,,
2025-08-29T12:23:40,DRONE,13.0267951,77.5633440,942.17,0.53,0.94,4,21
2025-08-29T12:23:40,DRONE,13.0267923,77.5633467,956.00,,,,
2025-08-29T12:23:40,DRONE,13.0267924,77.5633467,956.00,,,,
2025-08-29T12:23:40,DRONE,13.0267925,77.5633466,955.99,,,,
2025-08-29T12:23:40,BASE,13.0267047,77.5632985,943.06,0.83,1.27,3,17
2025-08-29T12:23:40,BASE,13.0267035,77.5632892,939.62,,,,
2025-08-29T12:23:40,BASE,13.0267035,77.5632893,939.62,,,,
2025-08-29T12:23:40,BASE,13.0267034,77.5632895,939.62,,,,
2025-08-29T12:23:40,DRONE,13.0267925,77.5633466,955.99,,,,
2025-08-29T12:23:40,DRONE,13.0267951,77.5633439,942.16,0.53,0.94,4,21
2025-08-29T12:23:40,DRONE,13.0267926,77.5633466,955.98,,,,
2025-08-29T12:23:40,BASE,13.0267034,77.5632896,939.62,,,,
2025-08-29T12:23:41,BASE,13.0267042,77.5632984,942.94,0.83,1.27,3,17
2025-08-29T12:23:41,BASE,13.0267033,77.5632897,939.61,,,,
2025-08-29T12:23:41,DRONE,13.0267926,77.5633466,955.98,,,,
2025-08-29T12:23:41,DRONE,13.0267926,77.5633466,955.97,,,,
2025-08-29T12:23:41,BASE,13.0267031,77.5632898,939.61,,,,
2025-08-29T12:23:41,BASE,13.0267030,77.5632899,939.61,,,,
2025-08-29T12:23:41,BASE,13.0267030,77.5632900,939.61,,,,
2025-08-29T12:23:41,DRONE,13.0267926,77.5633466,955.96,,,,
2025-08-29T12:23:41,DRONE,13.0267952,77.5633439,942.16,0.53,0.94,4,21
2025-08-29T12:23:41,DRONE,13.0267926,77.5633466,955.95,,,,
2025-08-29T12:23:41,DRONE,13.0267927,77.5633466,955.95,,,,
2025-08-29T12:23:41,BASE,13.0267037,77.5632986,942.89,0.83,1.27,3,17
2025-08-29T12:23:41,BASE,13.0267029,77.5632902,939.61,,,,
2025-08-29T12:23:41,DRONE,13.0267927,77.5633466,955.94,,,,
2025-08-29T12:23:41,DRONE,13.0267927,77.5633466,955.94,,,,
2025-08-29T12:23:41,BASE,13.0267028,77.5632903,939.61,,,,
2025-08-29T12:23:41,BASE,13.0267028,77.5632904,939.61,,,,
2025-08-29T12:23:41,BASE,13.0267028,77.5632905,939.61,,,,
2025-08-29T12:23:41,DRONE,13.0267952,77.5633438,942.16,0.53,0.94,4,21
2025-08-29T12:23:41,DRONE,13.0267927,77.5633466,955.94,,,,
2025-08-29T12:23:41,DRONE,13.0267928,77.5633466,955.93,,,,
2025-08-29T12:23:41,DRONE,13.0267928,77.5633466,955.93,,,,
2025-08-29T12:23:41,BASE,13.0267036,77.5632977,942.68,0.83,1.27,3,17
2025-08-29T12:23:41,BASE,13.0267028,77.5632905,939.61,,,,
2025-08-29T12:23:41,DRONE,13.0267927,77.5633466,955.93,,,,
2025-08-29T12:23:41,BASE,13.0267027,77.5632906,939.61,,,,
2025-08-29T12:23:41,BASE,13.0267027,77.5632906,939.61,,,,
2025-08-29T12:23:41,BASE,13.0267027,77.5632906,939.61,,,,
2025-08-29T12:23:41,BASE,13.0267035,77.5632965,942.37,0.83,1.27,3,17
2025-08-29T12:23:41,BASE,13.0267027,77.5632907,939.61,,,,
2025-08-29T12:23:41,DRONE,13.0267953,77.5633437,942.15,0.53,0.94,4,21
2025-08-29T12:23:41,DRONE,13.0267928,77.5633466,955.93,,,,
2025-08-29T12:23:41,DRONE,13.0267928,77.5633465,955.93,,,,
2025-08-29T12:23:41,DRONE,13.0267928,77.5633465,955.93,,,,
2025-08-29T12:23:41,BASE,13.0267026,77.5632907,939.61,,,,
2025-08-29T12:23:41,BASE,13.0267026,77.5632907,939.60,,,,
2025-08-29T12:23:41,DRONE,13.0267928,77.5633466,955.92,,,,
2025-08-29T12:23:41,DRONE,13.0267953,77.5633436,942.16,0.53,0.94,4,21
2025-08-29T12:23:41,DRONE,13.0267929,77.5633465,955.92,,,,
2025-08-29T12:23:41,BASE,13.0267026,77.5632907,939.60,,,,
2025-08-29T12:23:41,BASE,13.0267033,77.5632965,942.42,0.83,1.27,3,17
2025-08-29T12:23:41,BASE,13.0267025,77.5632906,939.60,,,,
2025-08-29T12:23:41,DRONE,13.0267929,77.5633465,955.92,,,,
2025-08-29T12:23:41,DRONE,13.0267930,77.5633465,955.91,,,,
2025-08-29T12:23:41,DRONE,13.0267930,77.5633465,955.91,,,,
2025-08-29T12:23:41,BASE,13.0267024,77.5632905,939.59,,,,
2025-08-29T12:23:41,BASE,13.0267024,77.5632905,939.59,,,,
2025-08-29T12:23:41,DRONE,13.0267954,77.5633434,942.15,0.53,0.94,4,21
2025-08-29T12:23:41,DRONE,13.0267930,77.5633465,955.91,,,,
2025-08-29T12:23:41,DRONE,13.0267930,77.5633464,955.90,,,,
2025-08-29T12:23:41,BASE,13.0267024,77.5632904,939.59,,,,
2025-08-29T12:23:42,BASE,13.0267035,77.5632969,942.63,0.83,1.27,3,17
2025-08-29T12:23:42,BASE,13.0267024,77.5632903,939.59,,,,
2025-08-29T12:23:42,DRONE,13.0267931,77.5633464,955.90,,,,
2025-08-29T12:23:42,DRONE,13.0267931,77.5633464,955.90,,,,
2025-08-29T12:23:42,BASE,13.0267023,77.5632903,939.58,,,,
2025-08-29T12:23:42,BASE,13.0267023,77.5632902,939.58,,,,
2025-08-29T12:23:42,BASE,13.0267024,77.5632902,939.58,,,,
2025-08-29T12:23:42,DRONE,13.0267954,77.5633432,942.13,0.53,0.94,4,21
2025-08-29T12:23:42,DRONE,13.0267931,77.5633464,955.89,,,,
2025-08-29T12:23:42,DRONE,13.0267931,77.5633463,955.89,,,,
2025-08-29T12:23:42,DRONE,13.0267931,77.5633463,955.89,,,,
2025-08-29T12:23:42,BASE,13.0267038,77.5632973,942.55,0.83,1.27,3,17
2025-08-29T12:23:42,BASE,13.0267024,77.5632903,939.57,,,,
2025-08-29T12:23:42,BASE,13.0267024,77.5632904,939.57,,,,
2025-08-29T12:23:42,DRONE,13.0267931,77.5633463,955.88,,,,
2025-08-29T12:23:42,DRONE,13.0267954,77.5633431,942.13,0.53,0.94,4,21
2025-08-29T12:23:42,DRONE,13.0267931,77.5633463,955.88,,,,
2025-08-29T12:23:42,BASE,13.0267024,77.5632904,939.56,,,,
2025-08-29T12:23:42,BASE,13.0267025,77.5632904,939.56,,,,
2025-08-29T12:23:42,DRONE,13.0267931,77.5633462,955.88,,,,
2025-08-29T12:23:42,DRONE,13.0267931,77.5633462,955.88,,,,
