Time,BaseMode,BaseLocked,WorldAz,WorldEl,CalAz,CalEl,PhysAz,PhysEl,ServoAz,ServoEl,Az(us),El(us),DroneLat,DroneLon,DroneAlt,BaseLat,BaseLon,BaseAlt,BaseLatSDm,BaseLonSDm,BaseFix,BaseSats,UsedFlip
2025-09-08T17:11:09,static,1,134.11,-9.84,225.89,-9.84,351.0,81.0,175.5,40.5,1921.3,1136.2,13.0267428,77.5633235,949.96,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.11,-9.84,225.89,-9.84,342.0,72.0,171.0,36.0,1892.8,1110.0,13.0267428,77.5633235,949.96,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.11,-9.72,225.89,-9.72,333.0,63.0,166.5,31.5,1864.3,1083.8,13.0267428,77.5633235,949.98,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.06,-9.67,225.94,-9.67,324.0,54.0,162.0,27.0,1836.0,1057.5,13.0267429,77.5633235,949.99,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.06,-9.61,225.94,-9.61,315.0,45.0,157.5,22.5,1807.8,1031.2,13.0267429,77.5633235,950.0,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.06,-9.61,225.94,-9.61,306.0,36.0,153.0,18.0,1779.8,1005.0,13.0267429,77.5633235,950.0,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.06,-9.55,225.94,-9.55,297.0,27.0,148.5,13.5,1751.8,978.8,13.0267429,77.5633235,950.01,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.06,-9.55,225.94,-9.55,288.0,18.0,144.0,9.0,1724.0,952.5,13.0267429,77.5633235,950.01,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.11,-9.5,225.89,-9.5,279.0,9.0,139.5,4.5,1696.3,926.2,13.0267429,77.5633234,950.02,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.11,-9.5,225.89,-9.5,270.0,0.0,135.0,0.0,1668.8,900.0,13.0267429,77.5633234,950.02,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.11,-9.5,225.89,-9.5,261.0,0.0,130.5,0.0,1641.3,900.0,13.0267429,77.5633234,950.02,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:09,static,1,134.11,-9.44,225.89,-9.44,252.0,0.0,126.0,0.0,1614.0,900.0,13.0267429,77.5633234,950.03,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:10,static,1,134.11,-9.44,225.89,-9.44,243.0,0.0,121.5,0.0,1586.8,900.0,13.0267429,77.5633234,950.03,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:10,static,1,134.11,-9.38,225.89,-9.38,234.0,0.0,117.0,0.0,1559.8,900.0,13.0267429,77.5633234,950.04,13.026802,77.5632609,951.6,0.0,0.0,,,0
2025-09-08T17:11:10,static,1,134.11,-9.38,225.89,-9.38,225.89,0.0,112.945,0.0,1535.5,900.0,13.0267429,77.5633234,950.04,13.026802,77.5632609,951.6,0.0,0.0,,,0
