Time,WorldAz,WorldEl,CalAz,CalEl,PhysAz,PhysEl,ServoAz_deg,ServoEl_deg,PulseAz_us,PulseEl_us,DroneLat,DroneLon,DroneAlt,BaseLat,BaseLon,BaseAlt
2025-07-31 17:53:58,349.94,70.09,349.94,70.09,180.0,70.09,90.0,35.045,2000.0,1389.4,13.02719,77.5631619,1074.807,13.026788,77.5632351,950.09
2025-07-31 17:53:59,350.06,70.14,350.06,70.14,180.0,70.14,90.0,35.07,2000.0,1389.7,13.02719,77.5631619,1074.807,13.0267891,77.563234,950.1
2025-07-31 17:53:59,350.33,70.2,350.33,70.2,180.0,70.2,90.0,35.1,2000.0,1390.0,13.02719,77.5631619,1074.807,13.0267902,77.5632318,950.15
2025-07-31 17:53:59,350.52,70.22,350.52,70.22,180.0,70.22,90.0,35.11,2000.0,1390.1,13.02719,77.5631619,1074.807,13.0267902,77.5632304,950.11
2025-07-31 17:53:59,350.52,70.22,350.52,70.22,180.0,70.22,90.0,35.11,2000.0,1390.1,13.02719,77.5631619,1074.807,13.0267902,77.5632304,950.11
2025-07-31 17:53:59,350.79,70.22,350.79,70.22,180.0,70.22,90.0,35.11,2000.0,1390.1,13.02719,77.5631619,1074.807,13.0267898,77.5632285,950.05
2025-07-31 17:54:00,351.22,70.18,351.22,70.18,180.0,70.18,90.0,35.09,2000.0,1389.9,13.02719,77.5631619,1074.807,13.0267887,77.5632255,950.12
2025-07-31 17:54:00,351.39,70.15,351.39,70.15,180.0,70.15,90.0,35.075,2000.0,1389.7,13.02719,77.5631619,1074.807,13.0267878,77.5632244,950.1
2025-07-31 17:54:00,351.62,70.11,351.62,70.11,180.0,70.11,90.0,35.055,2000.0,1389.5,13.02719,77.5631619,1074.807,13.0267864,77.5632229,950.08
2025-07-31 17:54:00,351.97,68.99,351.97,68.99,180.0,68.99,90.0,34.495,2000.0,1383.3,13.02719,77.5631619,1074.807,13.0267806,77.5632212,955.68
2025-07-31 17:54:00,352.09,70.01,352.09,70.01,180.0,70.01,90.0,35.005,2000.0,1388.9,13.02719,77.5631619,1074.807,13.0267841,77.5632198,950.13
2025-07-31 17:54:01,352.26,69.97,352.26,69.97,180.0,69.97,90.0,34.985,2000.0,1388.7,13.02719,77.5631619,1074.807,13.0267829,77.5632187,950.15
2025-07-31 17:54:01,352.36,69.92,352.36,69.92,180.0,69.92,90.0,34.96,2000.0,1388.4,13.02719,77.5631619,1074.807,13.0267817,77.5632181,950.13
2025-07-31 17:54:01,352.44,69.87,352.44,69.87,180.0,69.87,90.0,34.935,2000.0,1388.2,13.02719,77.5631619,1074.807,13.0267804,77.5632177,950.07
2025-07-31 17:54:01,352.5,69.82,352.5,69.82,180.0,69.82,90.0,34.91,2000.0,1387.9,13.02719,77.5631619,1074.807,13.0267792,77.5632174,950.09
2025-07-31 17:54:01,352.55,69.79,352.55,69.79,180.0,69.79,90.0,34.895,2000.0,1387.7,13.02719,77.5631619,1074.807,13.0267785,77.5632171,950.1
2025-07-31 17:54:02,352.64,69.79,352.64,69.79,180.0,69.79,90.0,34.895,2000.0,1387.7,13.02719,77.5631619,1074.807,13.0267784,77.5632165,950.1
2025-07-31 17:54:02,352.74,69.78,352.74,69.78,180.0,69.78,90.0,34.89,2000.0,1387.7,13.02719,77.5631619,1074.807,13.0267784,77.5632157,950.14
2025-07-31 17:54:02,352.88,69.78,352.88,69.78,180.0,69.78,90.0,34.89,2000.0,1387.7,13.02719,77.5631619,1074.807,13.0267782,77.5632147,950.13
2025-07-31 17:54:02,353.02,69.78,353.02,69.78,180.0,69.78,90.0,34.89,2000.0,1387.7,13.02719,77.5631619,1074.807,13.0267779,77.5632137,950.1
2025-07-31 17:54:02,353.12,69.77,353.12,69.77,180.0,69.77,90.0,34.885,2000.0,1387.6,13.02719,77.5631619,1074.807,13.0267774,77.563213,950.04
2025-07-31 17:54:03,353.16,69.74,353.16,69.74,180.0,69.74,90.0,34.87,2000.0,1387.4,13.02719,77.5631619,1074.807,13.0267767,77.5632128,950.03
2025-07-31 17:54:03,353.14,69.72,353.14,69.72,180.0,69.72,90.0,34.86,2000.0,1387.3,13.02719,77.5631619,1074.807,13.0267761,77.563213,950.01
