timestamp,drone_lat,drone_lon,drone_alt,base_lat,base_lon,base_alt,base_is_dynamic,calculated_azimuth,calculated_elevation,servo_azimuth,servo_elevation,horizontal_distance,slant_range,altitude_difference
2025-06-26T18:27:28.388999,13.026725,77.5633562,942.26,13.0264789,77.563185,945.56,TRUE,,,90,45,,,
2025-06-26T18:27:29.389647,13.026725,77.5633562,942.26,13.026477,77.5631768,944.05,TRUE,,,90,45,,,
2025-06-26T18:27:30.390554,13.026725,77.5633562,942.26,13.0264767,77.5631798,943.6,TRUE,,,90,45,,,
2025-06-26T18:27:31.391532,13.026725,77.5633562,942.26,13.0264755,77.5631866,943.47,TRUE,,,90,45,,,
2025-06-26T18:27:32.392096,13.026725,77.5633562,942.26,13.0264849,77.5632051,945.67,TRUE,,,90,45,,,
2025-06-26T18:27:33.392828,13.026725,77.5633562,942.26,13.026482,77.5632166,945.34,TRUE,,,90,45,,,
2025-06-26T18:27:34.393467,13.026725,77.5633562,942.26,13.0264808,77.5632183,945.13,TRUE,,,90,45,,,
2025-06-26T18:27:35.394151,13.026725,77.5633562,942.26,13.0264803,77.5632113,944.98,TRUE,,,90,45,,,
2025-06-26T18:27:36.394793,13.026725,77.5633562,942.26,13.0264785,77.5632123,945.5,TRUE,,,90,45,,,
2025-06-26T18:27:37.395420,13.026725,77.5633562,942.26,13.0264768,77.563211,945.42,TRUE,,,90,45,,,
