drone_lat,drone_lon,drone_alt,base_lat,base_lon,base_alt,azimuth,elevation,adjusted_azimuth,adjusted_elevation,horizontal_distance,slant_range,altitude_difference,bearing
13.0267039,77.5633651,947.86,13.0265139,77.5632723,945.94,25.45,4.71,25.45,4.71,23.31,23.39,1.92,25.45
13.0267048,77.5633641,948.26,13.0265079,77.5632649,945.92,26.14,5.5,26.14,5.5,24.3,24.41,2.34,26.14
13.0267038,77.5633651,948.57,13.026503,77.5632589,946.17,27.26,5.48,27.26,5.48,25.02,25.13,2.4,27.26
13.0267068,77.5633728,949.83,13.0264991,77.5632519,946.22,29.56,7.77,29.56,7.77,26.46,26.71,3.61,29.56
13.0267073,77.5633744,950.85,13.0264925,77.5632443,946.23,30.54,9.49,30.54,9.49,27.64,28.02,4.62,30.54
13.0267124,77.563375,952.17,13.0264872,77.5632407,946.11,30.16,11.86,30.16,11.86,28.86,29.49,6.06,30.16
13.0267185,77.5633705,953.02,13.0264816,77.5632358,946.02,28.98,13.13,28.98,13.13,30.01,30.82,7.0,28.98
13.0267204,77.5633733,952.7,13.0264757,77.5632296,946.01,29.78,12.09,29.78,12.09,31.24,31.95,6.69,29.78
13.0267124,77.5633804,952.11,13.0264689,77.5632218,945.96,32.4,10.89,32.4,10.89,31.96,32.55,6.15,32.4
13.0267107,77.5633787,952.09,13.0264661,77.5632174,945.94,32.72,10.81,32.72,10.81,32.22,32.8,6.15,32.72
13.0267064,77.5633804,951.24,13.0264598,77.5632085,945.89,34.18,9.2,34.18,9.2,33.05,33.48,5.35,34.18
13.0267111,77.5633868,951.36,13.026455,77.5632018,945.98,35.14,8.81,35.14,8.81,34.72,35.13,5.38,35.14
13.0267099,77.563396,950.88,13.0264506,77.5631931,946.02,37.32,7.66,37.32,7.66,36.16,36.49,4.86,37.32
13.026711,77.5634,950.28,13.0264497,77.563187,945.94,38.46,6.69,38.46,6.69,37.01,37.26,4.34,38.46
13.0267065,77.5634037,949.26,13.0264529,77.5631818,946.05,40.45,4.96,40.45,4.96,36.97,37.11,3.21,40.45
13.026702,77.5634023,948.64,13.0264594,77.5631766,946.06,42.19,4.06,42.19,4.06,36.33,36.42,2.58,42.19
13.0267006,77.563398,947.22,13.0264673,77.5631732,946.08,43.19,1.84,43.19,1.84,35.51,35.53,1.14,43.19
13.0266961,77.5633968,947.47,13.0264734,77.5631719,945.98,44.53,2.46,44.53,2.46,34.67,34.7,1.49,44.53
13.0266959,77.563399,946.44,13.0264832,77.5631728,945.88,46.02,0.94,46.02,0.94,34.0,34.0,0.56,46.02
13.0266949,77.5633951,945.79,13.0264899,77.5631773,945.88,45.99,-0.16,45.99,0.0,32.75,32.75,-0.09,45.99
13.026694,77.5633906,944.82,13.0264937,77.5631823,945.86,45.38,-1.88,45.38,0.0,31.65,31.67,-1.04,45.38
13.0266912,77.5633865,944.33,13.0265021,77.5631847,945.61,46.11,-2.42,46.11,0.0,30.28,30.31,-1.28,46.11
13.0266902,77.5633854,944.34,13.0265074,77.5631845,945.5,46.96,-2.23,46.96,0.0,29.73,29.75,-1.16,46.96
13.0266863,77.5633893,943.54,13.026514,77.563182,945.01,49.53,-2.85,49.53,0.0,29.48,29.52,-1.47,49.53
13.0266892,77.5633895,944.27,13.0265231,77.5631748,944.26,51.55,0.02,51.55,0.02,29.67,29.67,0.01,51.55
13.0266852,77.5633942,943.71,13.0265266,77.5631747,944.21,53.44,-0.97,53.44,0.0,29.58,29.58,-0.5,53.44
13.0266883,77.5633968,943.94,13.0265371,77.5631785,944.57,54.59,-1.24,54.59,0.0,28.99,29.0,-0.63,54.59
13.0266874,77.5634002,942.75,13.0265398,77.5631904,944.61,54.17,-3.8,54.17,0.0,28.01,28.07,-1.86,54.17
13.0266878,77.5633993,942.88,13.0265423,77.5631981,944.66,53.41,-3.76,53.41,0.0,27.12,27.18,-1.78,53.41
13.0266914,77.5634038,943,13.0265471,77.5632084,944.78,52.84,-3.84,52.84,0.0,26.53,26.59,-1.78,52.84
13.0266938,77.5634018,942.71,13.0265519,77.5632158,944.76,51.94,-4.58,51.94,0.0,25.56,25.64,-2.05,51.94
13.0266901,77.5634033,941.77,13.0265559,77.5632218,944.64,52.8,-6.64,52.8,0.0,24.66,24.83,-2.87,52.8
13.0266908,77.5634038,941.66,13.0265611,77.5632312,944.54,52.36,-6.96,52.36,0.0,23.59,23.77,-2.88,52.36
13.0266933,77.5634028,941.55,13.026565,77.5632377,944.47,51.42,-7.28,51.42,0.0,22.85,23.04,-2.92,51.42
13.0266975,77.5634075,942.01,13.0265699,77.5632462,944.26,50.92,-5.72,50.92,0.0,22.48,22.59,-2.25,50.92
13.0266995,77.5634096,942.6,13.0265739,77.5632555,944.21,50.08,-4.24,50.08,0.0,21.74,21.8,-1.61,50.08
13.0267,77.5634115,942.78,13.0265757,77.5632626,944.2,49.41,-3.83,49.41,0.0,21.21,21.26,-1.42,49.41
13.0267012,77.563405,943.2,13.0265774,77.5632746,944.18,45.74,-2.85,45.74,0.0,19.69,19.71,-0.98,45.74
13.0266978,77.5634038,943.06,13.0265692,77.5632864,944.35,41.65,-3.87,41.65,0.0,19.09,19.13,-1.29,41.65
13.0266975,77.5634045,942.77,13.0265628,77.563297,945.04,37.87,-6.84,37.87,0.0,18.92,19.06,-2.27,37.87
13.0266982,77.5634066,943.23,13.0265613,77.5633069,945.82,35.36,-7.92,35.36,0.0,18.61,18.79,-2.59,35.36
13.0266961,77.5634052,943.17,13.0265645,77.5633159,945.95,33.47,-9.03,33.47,0.0,17.49,17.71,-2.78,33.47
13.0266963,77.5634031,943.49,13.0265702,77.5633246,945.73,31.24,-7.8,31.24,0.0,16.34,16.49,-2.24,31.24
13.0266953,77.5634031,943.81,13.026578,77.5633323,945.73,30.46,-7.26,30.46,0.0,15.08,15.2,-1.92,30.46
13.0266917,77.5634035,943.41,13.0265872,77.5633385,945.66,31.22,-9.43,31.22,0.0,13.54,13.73,-2.25,31.22
13.0266896,77.5634033,943.03,13.026599,77.5633375,945.32,35.28,-10.54,35.28,0.0,12.3,12.51,-2.29,35.28
13.0266882,77.5634025,942.81,13.0266143,77.5633321,945.05,42.87,-11.32,42.87,0.0,11.19,11.41,-2.24,42.87
13.0266873,77.5634035,942.54,13.0266254,77.5633277,945.2,50.03,-13.96,50.03,0.0,10.7,11.03,-2.66,50.03
13.0266869,77.563404,942.46,13.0266383,77.5633235,945.5,58.21,-16.51,58.21,0.0,10.25,10.69,-3.04,58.21
13.0266859,77.5633991,942.98,13.0266447,77.5633202,945.6,61.81,-15.12,61.81,0.0,9.7,10.05,-2.62,61.81
13.0266847,77.5633973,942.95,13.0266573,77.5633155,945.66,71.03,-16.12,71.03,0.0,9.38,9.76,-2.71,71.03
13.0266852,77.5633962,943.22,13.026667,77.5633104,945.81,77.72,-15.22,77.72,0.0,9.52,9.87,-2.59,77.72
13.0266859,77.5633969,943.08,13.0266759,77.5633045,945.82,83.66,-15.2,83.66,0.0,10.08,10.45,-2.74,83.66
13.0266862,77.5633962,943.23,13.026684,77.5632999,945.62,88.66,-12.88,88.66,0.0,10.45,10.72,-2.39,88.66
13.0266867,77.5633963,943.35,13.0266935,77.5632963,945.59,93.99,-11.64,93.99,0.0,10.87,11.1,-2.24,93.99
13.026688,77.5633985,943.07,13.0267031,77.5632916,945.63,98.25,-12.33,98.25,0.0,11.72,12.0,-2.56,98.25
13.0266874,77.5633973,942.89,13.026713,77.5632869,945.76,103.39,-13.13,103.39,0.0,12.31,12.64,-2.87,103.39
13.0266865,77.5633951,942.86,13.0267231,77.5632812,946.01,108.25,-13.62,108.25,0.0,13.0,13.38,-3.15,108.25
13.0266863,77.5633934,942.73,13.026732,77.5632762,946.07,111.81,-13.72,111.81,0.0,13.68,14.08,-3.34,111.81
13.0266865,77.563392,942.53,13.026741,77.5632706,946.09,114.74,-13.81,114.74,0.0,14.48,14.91,-3.56,114.74
13.026685,77.563387,942.79,13.0267495,77.5632654,946.05,118.57,-12.26,118.57,0.0,15.0,15.35,-3.26,118.57
13.0266846,77.5633842,942.57,13.0267564,77.56326,946.12,120.68,-12.79,120.68,0.0,15.64,16.04,-3.55,120.68
13.0266847,77.5633841,942.25,13.0267612,77.5632545,945.83,121.21,-12.31,121.21,0.0,16.41,16.8,-3.58,121.21
13.0266856,77.5633844,941.94,13.0267603,77.5632469,945.81,119.15,-12.79,119.15,0.0,17.05,17.48,-3.87,119.15
13.026685,77.5633822,942.4,13.0267577,77.5632409,945.95,117.84,-11.59,117.84,0.0,17.31,17.67,-3.55,117.84
13.026685,77.5633815,942.72,13.0267506,77.563235,945.86,114.68,-10.19,114.68,0.0,17.47,17.75,-3.14,114.68
13.0266852,77.5633812,943.16,13.0267412,77.5632285,945.65,110.63,-8.01,110.63,0.0,17.68,17.85,-2.49,110.63
13.0266862,77.5633804,943.63,13.0267339,77.5632223,945.42,107.21,-5.7,107.21,0.0,17.94,18.03,-1.79,107.21
13.0266865,77.5633811,944.07,13.0267268,77.5632141,945.35,103.91,-3.93,103.91,0.0,18.66,18.7,-1.28,103.91
13.0266874,77.5633815,944.19,13.0267224,77.5632071,945.26,101.64,-3.17,101.64,0.0,19.31,19.34,-1.07,101.64
13.0266875,77.5633806,944.01,13.0267148,77.5631925,945.3,98.47,-3.58,98.47,0.0,20.63,20.67,-1.29,98.47
13.0266877,77.5633815,944.23,13.0267105,77.5631855,945.22,96.81,-2.65,96.81,0.0,21.41,21.43,-0.99,96.81
13.026688,77.5633827,944.69,13.0267044,77.5631743,945.08,94.62,-0.99,94.62,0.0,22.68,22.68,-0.39,94.62
13.0266872,77.5633805,945.47,13.0267002,77.5631663,945,93.56,1.16,93.56,1.16,23.28,23.28,0.47,93.56
13.0266874,77.5633812,945.97,13.0266975,77.5631569,944.88,92.65,2.56,92.65,2.56,24.36,24.38,1.09,92.65
13.0266871,77.5633797,946.55,13.0266932,77.5631476,944.72,91.55,4.16,91.55,4.16,25.19,25.26,1.83,91.55
13.026687,77.5633776,946.93,13.0266872,77.5631364,944.53,90.05,5.24,90.05,5.24,26.16,26.27,2.4,90.05
13.0266877,77.5633795,947.02,13.0266836,77.5631301,944.25,89.03,5.85,89.03,5.85,27.06,27.2,2.77,89.03
13.0266879,77.5633798,947.33,13.0266794,77.5631214,944.27,88.07,6.23,88.07,6.23,28.05,28.22,3.06,88.07
13.0266883,77.5633797,947.62,13.0266758,77.5631138,944.19,87.24,6.77,87.24,6.77,28.88,29.08,3.43,87.24
13.0266886,77.5633796,947.92,13.0266741,77.5631083,944.07,86.86,7.44,86.86,7.44,29.47,29.72,3.85,86.86
13.0266896,77.5633809,948.14,13.0266685,77.5630928,943.92,85.7,7.67,85.7,7.67,31.34,31.62,4.22,85.7
13.0266903,77.563379,948.53,13.0266654,77.5630805,944,85.11,7.94,85.11,7.94,32.5,32.81,4.53,85.11
13.0266909,77.5633778,948.68,13.026667,77.563071,943.79,85.43,8.33,85.43,8.33,33.38,33.74,4.89,85.43
13.0266922,77.5633777,948.7,13.0266686,77.5630672,943.87,85.54,8.14,85.54,8.14,33.78,34.12,4.83,85.54
13.026693,77.5633763,948.95,13.0266763,77.5630642,943.76,86.86,8.7,86.86,8.7,33.9,34.29,5.19,86.86
13.0266937,77.5633723,949.39,13.0266848,77.5630585,944.65,88.33,7.92,88.33,7.92,34.05,34.38,4.74,88.33
13.026695,77.5633722,949.34,13.0266908,77.5630563,944.97,89.22,7.27,89.22,7.27,34.27,34.55,4.37,89.22
13.0266967,77.5633734,949.59,13.0266991,77.5630565,945.42,90.45,6.92,90.45,6.92,34.38,34.63,4.17,90.45
13.0266979,77.5633721,949.84,13.0267063,77.5630627,945.62,91.6,7.16,91.6,7.16,33.57,33.83,4.22,91.6
13.0266993,77.5633695,950.32,13.0267118,77.5630676,945.55,92.43,8.28,92.43,8.28,32.78,33.13,4.77,92.43
13.0267,77.5633673,950.6,13.0267164,77.5630721,945.73,93.26,8.63,93.26,8.63,32.07,32.44,4.87,93.26
13.0267012,77.5633642,951.14,13.026725,77.5630808,945.54,94.93,10.29,94.93,10.29,30.85,31.35,5.6,94.93
13.0267018,77.5633608,951.54,13.0267333,77.56309,945.66,96.81,11.24,96.81,11.24,29.58,30.16,5.88,96.81
13.0267023,77.5633589,951.6,13.0267389,77.5630963,945.94,98.14,11.13,98.14,11.13,28.77,29.32,5.66,98.14
13.0267023,77.5633572,951.57,13.0267455,77.5631059,946.03,100.01,11.32,100.01,11.32,27.68,28.23,5.54,100.01
13.0267021,77.563356,951.54,13.0267493,77.5631127,946.14,101.26,11.35,101.26,11.35,26.9,27.44,5.4,101.26
13.0267033,77.5633569,951.45,13.0267556,77.563123,946.22,102.93,11.36,102.93,11.36,26.02,26.54,5.23,102.93
13.0267042,77.5633574,951.4,13.0267604,77.5631306,946.07,104.27,11.86,104.27,11.86,25.38,25.93,5.33,104.27
13.026705,77.5633575,951.42,13.0267671,77.5631397,946.01,106.31,12.4,106.31,12.4,24.6,25.19,5.41,106.31
13.0267056,77.5633574,951.51,13.02677,77.5631448,946.12,107.27,12.59,107.27,12.59,24.14,24.73,5.39,107.27
13.0267062,77.5633569,951.53,13.0267764,77.5631574,946.25,109.86,12.93,109.86,12.93,22.99,23.59,5.28,109.86
13.0267065,77.5633563,951.64,13.0267802,77.5631653,946.2,111.61,13.73,111.61,13.73,22.26,22.92,5.44,111.61
13.0267065,77.5633551,951.81,13.0267861,77.5631731,946.43,114.18,13.98,114.18,13.98,21.62,22.28,5.38,114.18
13.0267069,77.5633545,952.06,13.0267915,77.5631825,946.65,116.79,14.53,116.79,14.53,20.87,21.56,5.41,116.79
13.0267075,77.5633546,952,13.026798,77.5631935,946.85,119.97,14.34,119.97,14.34,20.14,20.79,5.15,119.97
13.0267071,77.563354,951.86,13.0268019,77.5632021,946.83,122.64,14.44,122.64,14.44,19.53,20.17,5.03,122.64
13.0267066,77.5633516,952.01,13.0268056,77.5632112,946.97,125.9,15.04,125.9,15.04,18.76,19.43,5.04,125.9
13.0267061,77.5633491,952.27,13.0268086,77.5632191,947.05,128.98,16.09,128.98,16.09,18.1,18.84,5.22,128.98
13.0267058,77.5633479,952.19,13.026813,77.5632297,947.12,132.95,16.19,132.95,16.19,17.47,18.19,5.07,132.95
13.0267056,77.5633465,952.33,13.0268157,77.5632369,947.13,135.88,16.99,135.88,16.99,17.02,17.8,5.2,135.88
13.0267056,77.5633456,952.4,13.0268185,77.5632483,947.15,139.98,17.8,139.98,17.8,16.35,17.17,5.25,139.98
13.0267056,77.5633467,952.05,13.0268182,77.5632591,947.08,142.84,17.6,142.84,17.6,15.67,16.44,4.97,142.84
13.0267053,77.5633447,952,13.0268178,77.5632686,947.01,146.61,18.48,146.61,18.48,14.93,15.74,4.99,146.61
13.026705,77.5633435,951.88,13.026818,77.5632805,947.01,151.49,18.87,151.49,18.87,14.25,15.06,4.87,151.49
13.0267048,77.5633435,951.65,13.0268175,77.5632908,946.83,155.51,19.36,155.51,19.36,13.72,14.54,4.82,155.51
13.0267045,77.5633426,951.56,13.0268138,77.5632974,946.4,158.06,21.58,158.06,21.58,13.05,14.03,5.16,158.06
13.0267043,77.5633438,950.94,13.0268095,77.5633048,946.18,160.14,21.03,160.14,21.03,12.38,13.26,4.76,160.14
13.0267039,77.5633435,950.77,13.0268049,77.5633124,945.72,163.3,23.4,163.3,23.4,11.67,12.72,5.05,163.3
13.0267036,77.5633436,950.58,13.0268003,77.5633289,945.38,171.58,25.68,171.58,25.68,10.82,12.0,5.2,171.58
13.0267033,77.5633435,950.49,13.0267974,77.5633347,945.35,174.79,26.18,174.79,26.18,10.45,11.65,5.14,174.79
13.0267033,77.5633437,950.38,13.0267899,77.5633452,945.57,180.97,26.66,180.97,26.66,9.58,10.72,4.81,180.97
13.0267033,77.5633439,950.21,13.0267854,77.5633509,945.12,184.75,29.18,184.75,29.18,9.11,10.44,5.09,184.75
13.0267032,77.5633445,950.07,13.0267795,77.5633583,945.23,189.99,29.45,189.99,29.45,8.57,9.84,4.84,189.99
13.0267037,77.5633434,950.03,13.026774,77.5633659,945.09,197.32,31.22,197.32,31.22,8.15,9.53,4.94,197.32
13.026704,77.5633406,950.06,13.0267706,77.5633732,945.08,205.5,31.36,205.5,31.36,8.17,9.57,4.98,205.5
13.0267028,77.5633388,950.42,13.0267649,77.5633814,945.73,213.76,29.53,213.76,29.53,8.28,9.52,4.69,213.76
13.0267018,77.5633381,950.59,13.0267522,77.5633949,946.51,227.67,26.15,227.67,26.15,8.31,9.26,4.08,227.67
13.0267015,77.563338,950.92,13.0267449,77.5634025,946.96,235.37,25.02,235.37,25.02,8.49,9.37,3.96,235.37
13.0267031,77.56334,951.59,13.026739,77.5634104,946.88,242.37,28.69,242.37,28.69,8.61,9.81,4.71,242.37
13.0267065,77.5633417,951.48,13.0267315,77.5634187,946.92,251.57,27.4,251.57,27.4,8.8,9.91,4.56,251.57
13.026705,77.5633433,951.17,13.0267243,77.5634268,946.83,256.65,25.0,256.65,25.0,9.31,10.27,4.34,256.65
13.0267069,77.5633449,950.73,13.026715,77.5634324,946.73,264.57,22.76,264.57,22.76,9.53,10.34,4.0,264.57
13.0267085,77.5633459,950.03,13.0267071,77.5634367,946.56,270.91,19.41,270.91,19.41,9.85,10.44,3.47,270.91
13.0267088,77.5633438,951.06,13.0267008,77.5634402,946.63,274.87,22.89,274.87,22.89,10.49,11.39,4.43,274.87
13.0267067,77.5633478,950.62,13.026693,77.5634409,946.52,278.59,21.87,278.59,21.87,10.21,11.0,4.1,278.59
13.0267077,77.5633461,951.36,13.0266825,77.5634377,946.66,285.77,24.49,285.77,24.49,10.32,11.34,4.7,285.77
13.0267102,77.5633495,950.95,13.0266773,77.5634325,946.72,292.14,23.54,292.14,23.54,9.71,10.59,4.23,292.14
13.0267083,77.5633488,950.88,13.0266714,77.5634233,946.96,296.95,23.41,296.95,23.41,9.05,9.86,3.92,296.95
13.0267087,77.5633507,950.85,13.0266664,77.5634137,946.82,304.57,25.95,304.57,25.95,8.28,9.21,4.03,304.57
13.0267082,77.563351,950.58,13.0266639,77.5634071,946.72,309.03,26.29,309.03,26.29,7.81,8.71,3.86,309.03
13.0267081,77.563351,950.97,13.0266598,77.5633992,946.66,315.81,29.96,315.81,29.96,7.48,8.63,4.31,315.81
13.0267091,77.56335,951.19,13.0266582,77.5633895,946.44,322.91,33.87,322.91,33.87,7.08,8.53,4.75,322.91
13.0267074,77.5633488,950.45,13.0266634,77.5633831,946.45,322.78,33.14,322.78,33.14,6.13,7.32,4.0,322.78
13.0267083,77.5633487,949.88,13.0266673,77.5633785,946.18,324.7,33.6,324.7,33.6,5.57,6.69,3.7,324.7
13.0267121,77.5633513,949.14,13.0266765,77.5633743,946.18,327.81,32.41,327.81,32.41,4.66,5.52,2.96,327.81
13.0267135,77.5633479,949.02,13.0266831,77.5633728,946,321.41,35.0,321.41,35.0,4.31,5.26,3.02,321.41
13.0267135,77.5633456,949.02,13.0266916,77.5633696,946,313.13,40.34,313.13,40.34,3.56,4.67,3.02,313.13
13.0267106,77.5633456,948.75,13.0267021,77.5633668,946.33,292.37,44.25,292.37,44.25,2.48,3.47,2.42,292.37
13.0267105,77.5633448,948.97,13.0267108,77.5633631,946.51,269.04,51.09,269.04,51.09,1.99,3.16,2.46,269.04
13.0267115,77.5633471,948.67,13.0267163,77.5633612,946.49,250.74,53.4,250.74,53.4,1.62,2.72,2.18,250.74
13.026725,77.5633562,942.26,13.0264789,77.563185,945.56,34.13,-5.72,34.13,0.0,32.96,33.12,-3.3,34.13
13.026725,77.5633562,942.26,13.026477,77.5631768,944.05,35.18,-3.05,35.18,0.0,33.64,33.69,-1.79,35.18
13.026725,77.5633562,942.26,13.0264767,77.5631798,943.6,34.69,-2.29,34.69,0.0,33.48,33.51,-1.34,34.69
13.026725,77.5633562,942.26,13.0264755,77.5631866,943.47,33.52,-2.09,33.52,0.0,33.17,33.19,-1.21,33.52
13.026725,77.5633562,942.26,13.0264849,77.5632051,945.67,31.51,-6.23,31.51,0.0,31.21,31.4,-3.41,31.51
13.026725,77.5633562,942.26,13.026482,77.5632166,945.34,29.24,-5.7,29.24,0.0,30.85,31.0,-3.08,29.24
13.026725,77.5633562,942.26,13.0264808,77.5632183,945.13,28.82,-5.31,28.82,0.0,30.88,31.01,-2.87,28.82
13.026725,77.5633562,942.26,13.0264803,77.5632113,944.98,29.98,-4.97,29.98,0.0,31.3,31.42,-2.72,29.98
13.026725,77.5633562,942.26,13.0264785,77.5632123,945.5,29.63,-5.89,29.63,0.0,31.42,31.59,-3.24,29.63
13.026725,77.5633562,942.26,13.0264768,77.563211,945.42,29.68,-5.7,29.68,0.0,31.66,31.82,-3.16,29.68
13.026725,77.5633562,942.26,13.0266051,77.5633734,948.21,352.04,-23.95,352.04,0.0,13.4,14.66,-5.95,352.04
13.026725,77.5633562,942.26,13.0266052,77.5633735,948.24,351.99,-24.07,351.99,0.0,13.39,14.66,-5.98,351.99
13.026725,77.5633562,942.26,13.0266053,77.5633735,948.24,351.98,-24.09,351.98,0.0,13.37,14.65,-5.98,351.98
13.026725,77.5633562,942.26,13.0266054,77.5633736,948.27,351.93,-24.21,351.93,0.0,13.37,14.66,-6.01,351.93
13.026725,77.5633562,942.26,13.0266055,77.5633736,948.35,351.93,-24.51,351.93,0.0,13.35,14.67,-6.09,351.93
13.026725,77.5633562,942.26,13.0266056,77.5633736,948.33,351.92,-24.46,351.92,0.0,13.34,14.66,-6.07,351.92
