drone_lat,drone_lon,drone_alt,base_lat,base_lon,base_alt,azimuth,elevation,adjusted_azimuth,adjusted_elevation,horizontal_distance,slant_range,altitude_difference,bearing
13.026725,77.5633562,942.26,13.0266061,77.5633733,948.35,352.02,-24.63,352.02,0.0,13.28,14.61,-6.09,352.02
13.026725,77.5633562,942.26,13.0266059,77.5633734,948.34,351.99,-24.55,351.99,0.0,13.31,14.63,-6.08,351.99
13.026725,77.5633562,942.26,13.0266057,77.5633734,948.26,352.0,-24.23,352.0,0.0,13.33,14.62,-6.0,352.0
13.026725,77.5633562,942.26,13.0266054,77.5633735,948.23,351.98,-24.07,351.98,0.0,13.36,14.63,-5.97,351.98
13.026725,77.5633562,942.26,13.026605,77.5633735,948.19,352.0,-23.86,352.0,0.0,13.41,14.66,-5.93,352.0
13.026725,77.5633562,942.26,13.0266048,77.5633736,948.13,351.97,-23.61,351.97,0.0,13.43,14.66,-5.87,351.97
13.026725,77.5633562,942.26,13.0266049,77.5633736,948.07,351.97,-23.41,351.97,0.0,13.42,14.62,-5.81,351.97
13.026725,77.5633562,942.26,13.0266048,77.5633739,948.03,351.84,-23.24,351.84,0.0,13.44,14.63,-5.77,351.84
13.026725,77.5633562,942.26,13.0266045,77.563374,948,351.81,-23.08,351.81,0.0,13.47,14.64,-5.74,351.81
13.026725,77.5633562,942.26,13.026604,77.563374,947.91,351.84,-22.67,351.84,0.0,13.52,14.65,-5.65,351.84
13.026725,77.5633562,942.26,13.0266038,77.563374,947.9,351.86,-22.6,351.86,0.0,13.55,14.68,-5.64,351.86
13.026725,77.5633562,942.26,13.0266587,77.5633648,948,352.8,-37.82,352.8,0.0,7.39,9.36,-5.74,352.8
13.026725,77.5633562,942.26,13.0266579,77.5633669,948.05,351.17,-37.62,351.17,0.0,7.51,9.48,-5.79,351.17
13.026725,77.5633562,942.26,13.0266571,77.5633681,948.01,350.31,-37.03,350.31,0.0,7.62,9.55,-5.75,350.31
13.026725,77.5633562,942.26,13.0266561,77.5633684,947.91,350.21,-36.14,350.21,0.0,7.74,9.58,-5.65,350.21
13.026725,77.5633562,942.26,13.0266548,77.5633687,947.69,350.16,-34.56,350.16,0.0,7.88,9.57,-5.43,350.16
13.026725,77.5633562,942.26,13.0266543,77.5633688,947.58,350.15,-33.82,350.15,0.0,7.94,9.56,-5.32,350.15
13.026725,77.5633562,942.26,13.0266541,77.5633692,947.5,349.87,-33.33,349.87,0.0,7.97,9.54,-5.24,349.87
13.026725,77.5633562,942.26,13.0266536,77.5633696,947.41,349.64,-32.67,349.64,0.0,8.03,9.54,-5.15,349.64
13.026725,77.5633562,942.26,13.0266534,77.5633697,947.35,349.59,-32.29,349.59,0.0,8.06,9.53,-5.09,349.59
13.026725,77.5633562,942.26,13.0266523,77.5633702,947.34,349.37,-31.83,349.37,0.0,8.18,9.63,-5.08,349.37
13.026725,77.5633562,942.26,13.0266516,77.5633706,947.22,349.18,-30.96,349.18,0.0,8.27,9.64,-4.96,349.18
13.026725,77.5633562,942.26,13.0266508,77.5633709,947.08,349.08,-29.96,349.08,0.0,8.36,9.65,-4.82,349.08
13.026725,77.5633562,942.26,13.0266505,77.5633714,946.97,348.76,-29.26,348.76,0.0,8.41,9.64,-4.71,348.76
13.026725,77.5633562,942.26,13.0266501,77.5633721,946.9,348.31,-28.73,348.31,0.0,8.46,9.65,-4.64,348.31
13.026725,77.5633562,942.26,13.0266502,77.5633725,946.88,348.01,-28.63,348.01,0.0,8.46,9.64,-4.62,348.01
13.026725,77.5633562,942.26,13.0266499,77.5633727,946.75,347.92,-27.85,347.92,0.0,8.5,9.61,-4.49,347.92
13.026725,77.5633562,942.26,13.0266492,77.563373,946.76,347.82,-27.67,347.82,0.0,8.58,9.69,-4.5,347.82
13.026725,77.5633562,942.26,13.026649,77.5633731,946.83,347.78,-27.97,347.78,0.0,8.61,9.75,-4.57,347.78
13.026725,77.5633562,942.26,13.0266487,77.5633738,946.78,347.33,-27.58,347.33,0.0,8.65,9.76,-4.52,347.33
13.026725,77.5633562,942.26,13.0266485,77.5633741,946.63,347.16,-26.71,347.16,0.0,8.68,9.72,-4.37,347.16
13.026725,77.5633562,942.26,13.0266484,77.5633745,946.53,346.9,-26.13,346.9,0.0,8.7,9.69,-4.27,346.9
13.026725,77.5633562,942.26,13.0266483,77.5633751,946.47,346.5,-25.75,346.5,0.0,8.73,9.69,-4.21,346.5
13.026725,77.5633562,942.26,13.0266483,77.5633753,946.47,346.36,-25.73,346.36,0.0,8.73,9.69,-4.21,346.36
13.026725,77.5633562,942.26,13.0266484,77.5633759,946.46,345.93,-25.67,345.93,0.0,8.74,9.7,-4.2,345.93
13.026725,77.5633562,942.26,13.0266486,77.5633758,946.41,345.97,-25.46,345.97,0.0,8.72,9.66,-4.15,345.97
